MEP,group_abbv,country,Industry-31,Industry-32,Industry-33,Industry-34,Industry-35,Industry-36,Industry-37,Industry-38,Industry-39,Industry-40,Industry-41,Industry-42,Industry-43,Industry-44,Industry-45,Industry-46,"Paragraph 1, amendment 5","Paragraph 3, amendment 6",Paragraph 6/1,Paragraph 6/2,"Paragraph 16, indent 5, amendment 7",Paragraph 18,Paragraph 19,Paragraph 20,"Paragraph 24, amendment 8","Paragraph 27, amendment 9","Paragraph 29, amendment 10",Paragraph 52/1,Paragraph 52/2,Paragraph 69/1,Paragraph 69/2,"Paragraph 73, intro, amendment 11","Paragraph 73, indent 1, amendment 12","Paragraph 73, indent 3, amendment 13","Paragraph 73, indent 3, amendment 4","Paragraph 73, indent 4/1","Paragraph 73, indent 4/2","Paragraph 73, indent 5, amendment 15","Paragraph 73, after indent 5, amendment 24","Paragraph 74, intro, amendment 16","Paragraph 74, indent 1, amendment 17","Paragraph 74, indent 3, amendment 18","Paragraph 74, after indent 3, amendment 25","Paragraph 75, amendment 19",Paragraph 75/1,Paragraph 75/2,"Paragraph 76, amendment 20","Paragraph 77, amendment 21","Paragraph 78, amendment 22","Paragraph 80, amendment 23",Citation 3/1,Citation 3/2,"After citation 4, amendment 1","Recital G, amendment 2",Recital J/1,Recital J/2,Recital J/3,"Recital V, amendment 3","Recital AE, amendment 4",vote: resolution (as a whole)
Axel Voss,EPP,Germany,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Balazs Hidveghi,NI,Hungary,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,Against,Against,Against,For,For,For,For,For,Against,For,For,For,Against,For,For,Against,Against
Barbara Thaler,EPP,Austria,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,Against,Against,For,For,For,For,For,Against,For,For,For,Against,For,For,For,Against
Barry Andrews,REG,Ireland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,For,Against,For
Bart Groothuis,REG,Netherlands,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,Abstain,Against,For,For,For,For,Against,For,For,For,For,For,For,For,For,For,For,Against,Against,Abstain,Against,For,Abstain,For,Abstain,For,Against,Against,For,Abstain,For,For,For,For,For,For,For,For,For,For,Against,Abstain
Bartosz Arlukowicz,EPP,Poland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,Against,For,Against,For,For,For,Against,Against,For,For,For,Against,For,Against,For,Against,For,For,For,For,For,Against,Against,For,For,Abstain,For,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For
Bas Eickhout,Greens/EFA,Netherlands,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Beata Kempa,ECR,Poland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,For,For,Against,For,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Against
Beata Mazurek,ECR,Poland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Against
Beata Szydlo,ECR,Poland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Against
Benoit Biteau,Greens/EFA,France,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Benoit Lutgen,EPP,Belgium,For,For,For,For,For,For,For,For,For,Against,For,Against,For,For,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,For
Bernard Guetta,REG,France,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Bernd Lange,S&D,Germany,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,Didn't vote,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,For,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,Didn't vote
Bernhard Zimniok,IDG,Germany,Against,For,For,For,For,Against,For,Against,Abstain,Against,For,Against,For,For,For,Against,Against,Against,Against,Abstain,For,Against,Against,Against,For,Against,For,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,For,For,For,Against,For,Against,Against,For,Abstain,For,For,Against,Against,Abstain,Against,Against,Abstain,Against,Abstain,Against,Against
Bert Jan Ruissen,ECR,Netherlands,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Against
Bettina Vollath,S&D,Austria,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Biljana Borzan,S&D,Croatia,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,For,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Billy Kelleher,REG,Ireland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,For,Against,For
Birgit Sippel,S&D,Germany,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Bogdan Rzonca,ECR,Poland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,Didn't vote,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Didn't vote
Boguslaw Liberadzki,S&D,Poland,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Brando Benifei,S&D,Italy,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Brice Hortefeux,EPP,France,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,Against,Against,For,For,For,For,For,Against,For,For,For,Against,For,For,For,Against
Bronis Rope,Greens/EFA,Lithuania,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Carles Puigdemont I Casamajo,NI,Spain,Against,For,Against,Abstain,Abstain,For,Against,For,Abstain,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Against,For,For,Against,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,Against,Against,For,For,For,Against,Against,For
Carlo Calenda,S&D,Italy,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Carlo Fidanza,ECR,Italy,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,Against,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Against
Carlos Zorrinho,S&D,Portugal,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Carmen Avram,S&D,Romania,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Caroline Nagtegaal,REG,Netherlands,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,Abstain,Against,For,For,For,For,Against,For,For,For,For,For,For,For,For,For,For,Against,Against,Abstain,Against,For,Abstain,For,Abstain,For,Against,Against,For,Abstain,For,For,For,For,For,For,For,For,For,For,Against,Abstain
Caroline Roose,Greens/EFA,France,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Caterina Chinnici,S&D,Italy,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Catherine Chabaud,REG,France,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Catherine Griset,IDG,France,For,Against,For,For,For,Against,For,Against,For,Against,For,Against,Against,For,For,For,Abstain,Abstain,Abstain,Against,For,For,For,For,Abstain,For,For,Against,For,For,Abstain,For,Abstain,Abstain,Against,Against,Abstain,Against,Against,Against,Against,For,Against,Abstain,Against,Against,Against,Abstain,Against,Abstain,Abstain,Against,For,For,For,For,Abstain,Abstain,For,Against
Cesar Luena,S&D,Spain,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Charles Goerens,REG,Luxembourg,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Charlie Weimers,ECR,Sweden,Abstain,Against,Against,Against,For,Against,For,Against,For,Abstain,Against,Abstain,Against,For,Against,Abstain,Abstain,Against,Against,Against,For,For,For,Abstain,Abstain,Against,For,Against,Against,Against,For,For,For,Abstain,For,Against,Against,Abstain,Against,For,For,For,Against,For,Against,Against,Abstain,Abstain,Abstain,For,Against,Against,Abstain,For,For,Abstain,Abstain,Abstain,For,Against
Chiara Gemma,NI,Italy,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,Against,For,Against,Abstain,Against,Against,Against,For,For,Against,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,For,Against,For
Chris Macmanus,The Left,Ireland,Against,For,For,For,Against,For,Against,For,Against,For,For,For,For,Abstain,For,Against,Against,Against,For,For,Against,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Against,For,For,Against,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Christel Schaldemose,S&D,Denmark,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,For,For,For,For,Against,For,Against,For,For,For,For,For,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Christian Doleschal,EPP,Germany,For,For,For,For,For,Against,For,For,Against,For,Against,Against,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
